Species,Flower ID,Images,Missing size count
Bellis perennis,1001572,143,0
Bellis perennis,1001608,143,2
Bellis perennis,1005368,143,0
Bellis perennis,1005371,143,0
Bellis perennis,1005375,143,0
Bellis perennis,1010522,143,0
Brassica napus,1000406,100,4
Brassica napus,1001635,100,1
Brassica napus,1001647,100,0
Brassica napus,1004452,100,0
Brassica napus,1004453,100,0
Brassica napus,1004454,100,0
Brassica napus,1004455,100,0
Brassica napus,1005373,100,0
Capsella bursa-pastoris,1001617,184,0
Capsella bursa-pastoris,1004520,184,0
Capsella bursa-pastoris,1004521,184,0
Capsella bursa-pastoris,1005389,184,0
Capsella bursa-pastoris,1010525,81,0
Cichorium intybus,1000318,130,0
Cichorium intybus,1001372,130,0
Cichorium intybus,1005059,131,0
Cichorium intybus,1005097,130,0
Cichorium intybus,1005200,130,0
Cichorium intybus,1005235,131,0
Cichorium intybus,1005321,35,0
Cichorium intybus,1005509,53,0
Crepis capillaris,1000322,200,1
Crepis capillaris,1005299,200,0
Crepis capillaris,1009502,200,0
Crepis capillaris,1009512,200,0
Hieracium umbellatum,1001326,200,65
Hieracium umbellatum,1005270,200,0
Hieracium umbellatum,1005289,200,0
Hieracium umbellatum,1012102,200,0
Hypochaeris radicata,1001325,200,83
Hypochaeris radicata,1005278,200,0
Hypochaeris radicata,1005327,200,0
Hypochaeris radicata,1010554,200,0
Sonchus arvensis,1000335,333,0
Sonchus arvensis,1005268,333,0
Tragopogon pratensis,1004991,632,0
Tragopogon pratensis,1010351,2,0
Tragopogon pratensis,1017334,200,0
Tussilago farfara,1000328,167,0
Tussilago farfara,1001625,166,0
Tussilago farfara,1004811,166,0
Tussilago farfara,1004814,167,0
Tussilago farfara,1005387,167,0
